"filename", "language", "C#", "comment", "blank", "total"
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\CombatUnit\MeleeUnit\MeleeUnitsBase.cs", "C#", 210, 3, 39, 252
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\CombatUnit\MeleeUnit\Swordsman.cs", "C#", 6, 0, 1, 7
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\CombatUnit\ProducebleCombatUnitBase.cs", "C#", 71, 0, 18, 89
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\CombatUnit\RangedAttackUnit\Archer.cs", "C#", 8, 0, 1, 9
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\CombatUnit\RangedAttackUnit\IRangeAttackable.cs", "C#", 17, 0, 7, 24
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\CombatUnit\RangedAttackUnit\RangedAttackUnitBase.cs", "C#", 259, 13, 50, 322
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\GameUnitMover.cs", "C#", 75, 0, 15, 90
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\IMaintenanceRequired.cs", "C#", 10, 0, 1, 11
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\IMovable.cs", "C#", 8, 0, 1, 9
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\SoldierUnitBase.cs", "C#", 202, 2, 49, 253
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\Worker\Worker.cs", "C#", 183, 4, 31, 218
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\ThrowingObject\Arrow.cs", "C#", 6, 0, 2, 8
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\ThrowingObject\ThrowingObjectBase.cs", "C#", 93, 0, 15, 108
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\ThrowingObject\ThrowingObjectHandler.cs", "C#", 5, 0, 1, 6
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\UnitData.cs", "C#", 15, 0, 2, 17
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\UnitStatus.cs", "C#", 13, 0, 1, 14
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\UnitVisualField.cs", "C#", 35, 0, 12, 47
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Player\AI\PlayerAI.DispatchPlan.cs", "C#", 64, 0, 9, 73
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Player\AI\PlayerAI.cs", "C#", 155, 51, 33, 239
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Player\PlayerBase.cs", "C#", 498, 30, 114, 642
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Policy\PolicyBase.cs", "C#", 14, 1, 3, 18
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Policy\PolicyData.cs", "C#", 18, 1, 2, 21
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Policy\PolicyGenerator.cs", "C#", 105, 4, 3, 112
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Policy\PolicyManager.cs", "C#", 93, 1, 16, 110
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Policy\PolicyType.cs", "C#", 10, 0, 0, 10
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\ResourceType.cs", "C#", 9, 0, 2, 11
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Road.cs", "C#", 9, 0, 0, 9
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Team.cs", "C#", 8, 0, 0, 8
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\TechTree\TechData.cs", "C#", 15, 0, 3, 18
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\TechTree\TechGenerator.cs", "C#", 162, 0, 9, 171
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\TechTree\TechTree.cs", "C#", 75, 3, 20, 98
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\TechTree\TechTreeGenerator.cs", "C#", 46, 0, 3, 49
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\TechTree\TechTreeNode.cs", "C#", 182, 3, 51, 236
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\TechTree\TechTreeNodeList.cs", "C#", 52, 6, 9, 67
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\TechTree\TechTreeNodeStat.cs", "C#", 30, 0, 1, 31
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\TechTree\Technology.cs", "C#", 52, 1, 13, 66
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Global\GlobalGameManager.cs", "C#", 46, 0, 7, 53
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\PathFindingPlus\CustomPathFinding.cs", "C#", 12, 0, 3, 15
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Rendering\SpriteRendererPlus.cs", "C#", 83, 12, 11, 106
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\ScenesFlowManager\Init\Initer.cs", "C#", 12, 0, 2, 14
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\ScenesFlowManager\Loading\LoadingManager.cs", "C#", 35, 0, 8, 43
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\ScenesFlowManager\Main\MainTest.cs", "C#", 10, 0, 4, 14
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\SimpleCameraController.cs", "C#", 241, 9, 44, 294
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\TestScript.cs", "C#", 12, 0, 2, 14
"Total", "-", 6037, 211, 1174, 7422
